curve_name,USD_3M,USD_OIS
date,2014-12-31,2014-12-31
deposits_ON,0.000852,0.000852
deposits_TN,,
deposits_SN,,
deposits_1WK,0.00135,
deposits_2WK,,
deposits_1MO,0.001713,
deposits_2MO,0.002145,
deposits_3MO,0.002556,
deposits_4MO,,
deposits_5MO,,
deposits_6MO,,
deposits_7MO,,
deposits_8MO,,
deposits_9MO,,
deposits_10MO,,
deposits_11MO,,
deposits_12MO,,
fras_1x4,,
fras_2x5,,
fras_3x6,0.004,
fras_4x7,,
fras_5x8,,
fras_6x9,0.005,
fras_7x10,,
fras_8x11,,
fras_9x12,0.006,
fras_10x13,,
fras_11x14,,
fras_12x15,0.007,
fras_13x16,,
fras_14x17,,
fras_15x18,,
fras_16x19,,
fras_17x20,,
fras_18x21,,
fras_19x22,,
fras_20x23,,
fras_21x24,,
fras_1x7,,
fras_2x8,,
fras_3x9,,
fras_4x10,,
fras_5x11,,
fras_6x12,,
fras_7x13,,
fras_8x14,,
fras_9x15,,
fras_10x16,,
fras_11x17,,
fras_12x18,,
fras_13x19,,
fras_14x20,,
fras_15x21,,
fras_16x22,,
fras_17x23,,
fras_18x24,,
futures_1,99.71565,
futures_2,99.567,
futures_3,99.35393,
futures_4,99.09141,
futures_5,98.82944,
futures_6,98.58325,
futures_7,98.35242,
futures_8,98.15171,
futures_9,97.99716,
futures_10,97.8528,
futures_11,97.74388,
futures_12,97.6454,
futures_13,,
futures_14,,
futures_15,,
futures_16,,
futures_17,,
futures_18,,
futures_19,,
futures_20,,
swaps_1YR,,0.01
swaps_18MO,,0.011
swaps_2YR,,0.012
swaps_3YR,,0.013
swaps_4YR,0.015775,0.014
swaps_5YR,0.017715,0.015
swaps_6YR,0.01925,0.016
swaps_7YR,0.020412,0.017
swaps_8YR,0.02141,0.018
swaps_9YR,0.022151,0.019
swaps_10YR,0.022825,0.02
swaps_11YR,0.02346,0.021
swaps_12YR,0.023918,0.022
swaps_13YR,,0.023
swaps_14YR,,0.024
swaps_15YR,0.025068,0.025
swaps_20YR,0.026197,0.026
swaps_25YR,0.02671,0.027
swaps_30YR,0.027,0.028
swaps_35YR,0.027205,0.029
swaps_40YR,0.0272,0.03
swaps_45YR,0.027165,0.031
swaps_50YR,0.027,0.032
swaps_55YR,,0.033
swaps_60YR,,0.034
