,USD_3M,USD_OIS
deposits_ON,True,True
deposits_TN,False,False
deposits_SN,False,False
deposits_1WK,True,False
deposits_2WK,False,False
deposits_1MO,True,False
deposits_2MO,True,False
deposits_3MO,True,False
deposits_4MO,False,False
deposits_5MO,False,False
deposits_6MO,False,False
deposits_7MO,False,False
deposits_8MO,False,False
deposits_9MO,False,False
deposits_10MO,False,False
deposits_11MO,False,False
deposits_12MO,False,False
fras_1x4,False,False
fras_2x5,False,False
fras_3x6,False,False
fras_4x7,False,False
fras_5x8,False,False
fras_6x9,False,False
fras_7x10,False,False
fras_8x11,False,False
fras_9x12,False,False
fras_10x13,False,False
fras_11x14,False,False
fras_12x15,False,False
fras_13x16,False,False
fras_14x17,False,False
fras_15x18,False,False
fras_16x19,False,False
fras_17x20,False,False
fras_18x21,False,False
fras_19x22,False,False
fras_20x23,False,False
fras_21x24,False,False
fras_1x7,False,False
fras_2x8,False,False
fras_3x9,False,False
fras_4x10,False,False
fras_5x11,False,False
fras_6x12,False,False
fras_7x13,False,False
fras_8x14,False,False
fras_9x15,False,False
fras_10x16,False,False
fras_11x17,False,False
fras_12x18,False,False
fras_13x19,False,False
fras_14x20,False,False
fras_15x21,False,False
fras_16x22,False,False
fras_17x23,False,False
fras_18x24,False,False
swaps_1YR,False,False
swaps_18MO,False,False
swaps_2YR,False,True
swaps_3YR,False,True
swaps_4YR,True,True
swaps_5YR,True,True
swaps_6YR,True,True
swaps_7YR,True,True
swaps_8YR,True,True
swaps_9YR,True,True
swaps_10YR,True,True
swaps_11YR,True,True
swaps_12YR,True,True
swaps_13YR,False,False
swaps_14YR,False,False
swaps_15YR,True,True
swaps_20YR,True,True
swaps_25YR,True,True
swaps_30YR,True,True
swaps_35YR,True,True
swaps_40YR,True,True
swaps_45YR,True,True
swaps_50YR,True,True
swaps_55YR,False,True
swaps_60YR,False,True
