,USD_3M
2015-01-02,1.0
2015-01-06,0.9999905333893444
2015-01-12,0.9999666509090224
2015-02-05,0.9998454145028991
2015-03-05,0.9996414844001115
2015-04-06,0.9993472217936058
2015-06-18,0.9987968844310983
2015-09-17,0.9977010543567689
2015-12-16,0.9960888377310971
2016-03-16,0.9938063491619971
2016-06-16,0.9908423126418805
2016-09-15,0.9873032084517335
2016-12-21,0.9829575897652546
2017-03-21,0.9784365037525256
2017-06-15,0.9737660915185428
2017-09-21,0.9681177815434691
2017-12-20,0.9626867577077683
2019-01-07,0.9385487581631239
2020-01-06,0.9146805556742648
2021-01-05,0.890035840278982
2022-01-05,0.8656047807178909
2023-01-05,0.8408976929740146
2024-01-05,0.8171586370218343
2025-01-06,0.7933500685234882
2026-01-05,0.7694113376014695
2027-01-05,0.7469112090194938
2030-01-07,0.6814653583437248
2035-01-05,0.5849711785016655
2040-01-05,0.5047620868224231
2045-01-05,0.43643035177393147
2050-01-05,0.3773287026144132
2055-01-05,0.32977715941633273
2060-01-05,0.28897402237173075
2065-01-05,0.2567662331617102
